id,stock_code,stock_name,oss_url,is_key_polluters,full_name,人工结果,自动化和人工对比结果
44470,600992,贵绳股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/贵绳股份/1205968315.PDF,不适用,贵州钢绳股份有限公司,适用,不相同
44713,600237,铜峰电子,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/铜峰电子/1205991921.PDF,不适用,安徽铜峰电子股份有限公司,不适用,相同
51080,600618,氯碱化工,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/氯碱化工/1206046693.PDF,不适用,上海氯碱化工股份有限公司,适用,不相同
50950,601162,天风证券,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/天风证券/1206019622.PDF,不适用,天风证券股份有限公司,不适用,相同
51927,600215,长春经开,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/长春经开/1206085904.PDF,不适用,长春经开(集团)股份有限公司,不适用,相同
44876,000630,铜陵有色,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/铜陵有色/1206011628.PDF,适用,铜陵有色金属集团股份有限公司,适用,相同
52342,601208,东材科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/东材科技/1206126029.PDF,不适用,四川东材科技集团股份有限公司,不适用,相同
51181,300387,富邦股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/富邦股份/1206052325.PDF,不适用,湖北富邦科技股份有限公司,不适用,相同
44267,600519,贵州茅台,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/贵州茅台/1205958206.PDF,不适用,贵州茅台酒股份有限公司,适用,不相同
51220,603895,天永智能,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/天永智能/1206063082.PDF,不适用,上海天永智能装备股份有限公司,不适用,相同
44334,300645,正元智慧,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/正元智慧/1205955738.PDF,不适用,浙江正元智慧科技股份有限公司,不适用,相同
51656,002777,久远银海,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/久远银海/1206077494.PDF,不适用,四川久远银海软件股份有限公司,不适用,相同
44691,002853,皮阿诺,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/皮阿诺/1205993603.PDF,不适用,广东皮阿诺科学艺术家居股份有限公司,不适用,相同
51384,600699,均胜电子,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/均胜电子/1206073654.PDF,不适用,宁波均胜电子股份有限公司,不适用,相同
51069,300029,天龙光电,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/天龙光电/1206047370.PDF,不适用,江苏华盛天龙光电设备股份有限公司,不适用,相同
44201,002643,万润股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/万润股份/1205946858.PDF,适用,中节能万润股份有限公司,不适用,不相同
44050,002765,蓝黛传动,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/蓝黛传动/1205935932.PDF,不适用,重庆蓝黛动力传动机械股份有限公司,不适用,相同
44403,000531,穗恒运Ａ,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/穗恒运Ａ/1205953301.PDF,适用,广州恒运企业集团股份有限公司,适用,相同
52663,300548,博创科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/博创科技/1206200719.PDF,不适用,博创科技股份有限公司,不适用,相同
51886,002040,南 京 港,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/南 京 港/1206087958.PDF,不适用,南京港股份有限公司,不适用,相同
